# setup_c Gate-Modus (Gated-Portfolio, --mit-regime-gate) - Fenster: S1
# suppression_phasenlokal: True | cluster_a_max_vorlauf: 1 | stop_puffer: 0.15 | sl_pct_ref: 0.45
# Portfolio (§2.16-F.1): TREND -> RAW-A@96 + RAW-B@96 (Bruchrichtung) | SHAKEOUT/UNKLAR -> RAW-A@48
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
regime	arm	horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
TREND	RAW-A	96	82	up	7555	2026-06-02 07:45:00	76.67100	75.81900	0.85200	7585	2026-06-02 15:15:00	75.81900	INITIAL_SL_INTRABAR	30	-1.00	-2.47
SHAKEOUT	RAW-A	48	87	down	7810	2026-06-05 02:30:00	73.52800	73.99300	0.46500	7858	2026-06-05 14:30:00	72.59700	ZEIT_EXIT_CLOSE	48	2.00	2.81
SHAKEOUT	RAW-A	48	88	down	7859	2026-06-05 14:45:00	72.60000	73.43500	0.83500	7907	2026-06-08 03:45:00	67.80800	ZEIT_EXIT_CLOSE	48	5.74	14.67
SHAKEOUT	RAW-A	48	88	up	7859	2026-06-05 14:45:00	72.60000	72.25200	0.34800	7859	2026-06-05 14:45:00	72.25200	INITIAL_SL_INTRABAR	0	-1.00	-1.07
SHAKEOUT	RAW-A	48	89	down	7923	2026-06-08 07:45:00	66.39100	67.71400	1.32300	7945	2026-06-08 13:15:00	67.71400	INITIAL_SL_INTRABAR	22	-1.00	-4.43
SHAKEOUT	RAW-A	48	90	down	8051	2026-06-09 16:45:00	65.44300	67.19300	1.75000	8099	2026-06-10 05:45:00	64.14900	ZEIT_EXIT_CLOSE	48	0.74	4.39
SHAKEOUT	RAW-A	48	93	down	8226	2026-06-11 14:30:00	62.93400	63.98900	1.05500	8231	2026-06-11 15:45:00	63.98900	INITIAL_SL_INTRABAR	5	-1.00	-3.73
SHAKEOUT	RAW-A	48	100	down	9184	2026-06-26 04:45:00	56.04900	56.94100	0.89200	9198	2026-06-26 08:15:00	56.94100	INITIAL_SL_INTRABAR	14	-1.00	-3.54
TREND	RAW-A	96	101	up	9230	2026-06-26 16:15:00	59.21000	58.34200	0.86800	9266	2026-06-29 02:15:00	58.34200	INITIAL_SL_INTRABAR	36	-1.00	-3.26
TREND	RAW-B	96	102	up	9384	2026-06-30 08:45:00	58.95500	58.60800	0.34700	9390	2026-06-30 10:15:00	58.60800	INITIAL_SL_INTRABAR	6	-1.00	-1.31
TREND	RAW-A	96	104	up	9506	2026-07-01 16:15:00	60.37400	58.85700	1.51700	9602	2026-07-02 17:15:00	61.00500	ZEIT_EXIT_CLOSE	96	0.42	2.32
TREND	RAW-A	96	105	up	9552	2026-07-02 04:45:00	60.01800	59.25100	0.76700	9648	2026-07-03 05:45:00	62.24400	ZEIT_EXIT_CLOSE	96	2.90	8.24
TREND	RAW-A	96	106	up	9598	2026-07-02 16:15:00	61.64300	60.10800	1.53500	9694	2026-07-03 17:15:00	62.28600	ZEIT_EXIT_CLOSE	96	0.42	2.32
SHAKEOUT	RAW-A	48	110	down	9927	2026-07-08 10:30:00	59.69300	60.81600	1.12300	9975	2026-07-08 22:30:00	58.15900	ZEIT_EXIT_CLOSE	48	1.37	5.71
TREND	RAW-B	96	115	up	10594	2026-07-17 16:15:00	55.67400	55.48500	0.18900	10690	2026-07-20 17:15:00	57.03800	ZEIT_EXIT_CLOSE	96	7.22	5.44
TREND	RAW-B	96	116	up	10732	2026-07-21 04:45:00	57.63000	56.81000	0.82000	10828	2026-07-22 05:45:00	59.77500	ZEIT_EXIT_CLOSE	96	2.62	8.27
TREND	RAW-A	96	117	up	10817	2026-07-22 03:00:00	59.18100	58.76200	0.41900	10913	2026-07-23 04:00:00	59.56200	ZEIT_EXIT_CLOSE	96	0.91	1.43
SHAKEOUT	RAW-A	48	118	up	10868	2026-07-22 15:45:00	59.99200	59.33800	0.65400	10897	2026-07-23 00:00:00	59.33800	INITIAL_SL_INTRABAR	29	-1.00	-2.42
TREND	RAW-B	96	124	up	11346	2026-07-29 20:15:00	58.50400	57.69800	0.80600	11352	2026-07-29 21:45:00	57.69800	INITIAL_SL_INTRABAR	6	-1.00	-3.06
TREND	RAW-A	96	125	up	11744	2026-08-05 04:45:00	60.52500	59.68200	0.84300	11840	2026-08-06 05:45:00	62.07900	ZEIT_EXIT_CLOSE	96	1.84	5.71
TREND	RAW-A	96	126	up	11790	2026-08-05 16:15:00	62.50300	61.69300	0.81000	11797	2026-08-05 18:00:00	61.69300	INITIAL_SL_INTRABAR	7	-1.00	-2.88
TREND	RAW-B	96	129	up	12067	2026-08-10 16:30:00	64.50300	63.76200	0.74100	12163	2026-08-11 17:30:00	64.59800	ZEIT_EXIT_CLOSE	96	0.13	0.33
TREND	RAW-B	96	130	up	12221	2026-08-12 09:00:00	65.89400	65.57800	0.31600	12256	2026-08-12 17:45:00	65.57800	INITIAL_SL_INTRABAR	35	-1.00	-1.07
SHAKEOUT	RAW-A	48	132	down	12621	2026-08-18 17:00:00	64.14600	64.77700	0.63100	12669	2026-08-19 06:00:00	62.94700	ZEIT_EXIT_CLOSE	48	1.90	4.15
TREND	RAW-B	96	134	up	12800	2026-08-20 15:45:00	67.37800	66.56400	0.81400	12896	2026-08-21 16:45:00	69.13400	ZEIT_EXIT_CLOSE	96	2.16	5.79
