============================================================================================================
SETUP C EMA-SLOPE-TRAILING (Variante B) | Fenster S1 | N=300
Zeitraum: 2026-02-05 .. 2026-08-28  (ende-exklusiv)
Trades: n=38  gewertet=38  zensiert=0
Summe R (r_f4): +26.56R   Summe r_ref: +64.92R
Mean R: 0.70   Median R: 0.38
Winrate: 52.6%  (20W/18L)
Profit Faktor: 3.14
Bester Trade: +15.22R   Schlechtester: -1.00R
Max Gewinnserie: 3 (Summe +3.16R)
Max Verlustserie: 6 (Summe -3.39R)
Max Drawdown (R-Kurve): -3.53R
Exit: INITIAL_SL_INTRABAR=5 | ZEIT_EXIT_CLOSE=0 | TRAILING_SL_INTRABAR=33
mittl. Haltedauer: 25 Bars
============================================================================================================

ALLE TRADES (chronologisch je Horizont, inkl. Zeitstempel):
  N | Phase | Dir  | Entry-TS          |   Entry | Exit-TS           |    Exit | Exit-Grund        |   HD |   r_f4 |  r_ref
300 | P66  | up   | 2026-05-11 14:30 |   82.809 | 2026-05-12 03:00 |   85.981 | TRAILING_SL_INTRABAR   |   46 |   +1.68 |   +8.51
300 | P67  | down | 2026-05-12 08:15 |   84.813 | 2026-05-12 14:45 |   84.469 | TRAILING_SL_INTRABAR   |   26 |   +0.37 |   +0.90
300 | P69  | down | 2026-05-14 15:15 |   86.301 | 2026-05-15 19:30 |   77.351 | TRAILING_SL_INTRABAR   |  109 |  +15.22 |  +23.05
300 | P70  | down | 2026-05-15 04:00 |   80.778 | 2026-05-15 19:30 |   77.351 | TRAILING_SL_INTRABAR   |   62 |   +0.91 |   +9.43
300 | P71  | down | 2026-05-15 15:45 |   76.000 | 2026-05-15 19:15 |   77.256 | INITIAL_SL_INTRABAR    |   14 |   -1.00 |   -3.67
300 | P73  | up   | 2026-05-18 15:45 |   77.562 | 2026-05-18 16:45 |   76.296 | TRAILING_SL_INTRABAR   |    4 |   -0.84 |   -3.63
300 | P74  | down | 2026-05-19 15:15 |   75.622 | 2026-05-19 19:15 |   74.872 | TRAILING_SL_INTRABAR   |   16 |   +1.32 |   +2.20
300 | P79  | down | 2026-05-28 03:15 |   73.977 | 2026-05-28 07:45 |   73.082 | TRAILING_SL_INTRABAR   |   18 |   +0.80 |   +2.69
300 | P82  | up   | 2026-06-02 07:45 |   76.671 | 2026-06-02 11:30 |   76.279 | TRAILING_SL_INTRABAR   |   15 |   -0.46 |   -1.14
300 | P87  | down | 2026-06-05 02:30 |   73.528 | 2026-06-05 10:15 |   72.670 | TRAILING_SL_INTRABAR   |   31 |   +1.85 |   +2.59
300 | P88  | down | 2026-06-05 14:45 |   72.600 | 2026-06-08 02:00 |   68.213 | TRAILING_SL_INTRABAR   |   41 |   +5.25 |  +13.43
300 | P88  | up   | 2026-06-05 14:45 |   72.600 | 2026-06-05 14:45 |   72.252 | INITIAL_SL_INTRABAR    |    0 |   -1.00 |   -1.07
300 | P89  | down | 2026-06-08 07:45 |   66.391 | 2026-06-08 13:00 |   67.415 | TRAILING_SL_INTRABAR   |   21 |   -0.77 |   -3.43
300 | P90  | down | 2026-06-09 16:45 |   65.443 | 2026-06-10 07:45 |   64.327 | TRAILING_SL_INTRABAR   |   56 |   +0.64 |   +3.79
300 | P93  | down | 2026-06-11 14:30 |   62.934 | 2026-06-11 15:45 |   63.846 | TRAILING_SL_INTRABAR   |    5 |   -0.86 |   -3.22
300 | P100 | down | 2026-06-26 04:45 |   56.049 | 2026-06-26 08:15 |   56.941 | INITIAL_SL_INTRABAR    |   14 |   -1.00 |   -3.54
300 | P101 | up   | 2026-06-26 16:15 |   59.210 | 2026-06-26 20:00 |   58.966 | TRAILING_SL_INTRABAR   |   15 |   -0.28 |   -0.92
300 | P104 | up   | 2026-07-01 16:15 |   60.374 | 2026-07-01 20:00 |   59.825 | TRAILING_SL_INTRABAR   |   15 |   -0.36 |   -2.02
300 | P105 | up   | 2026-07-02 04:45 |   60.018 | 2026-07-02 07:15 |   59.796 | TRAILING_SL_INTRABAR   |   10 |   -0.29 |   -0.82
300 | P106 | up   | 2026-07-02 16:15 |   61.643 | 2026-07-02 18:30 |   60.731 | TRAILING_SL_INTRABAR   |    9 |   -0.59 |   -3.29
300 | P110 | down | 2026-07-08 10:30 |   59.693 | 2026-07-08 19:30 |   58.313 | TRAILING_SL_INTRABAR   |   36 |   +1.23 |   +5.14
300 | P117 | up   | 2026-07-22 03:00 |   59.181 | 2026-07-22 07:30 |   59.479 | TRAILING_SL_INTRABAR   |   18 |   +0.71 |   +1.12
300 | P118 | up   | 2026-07-22 15:45 |   59.992 | 2026-07-22 19:15 |   59.859 | TRAILING_SL_INTRABAR   |   14 |   -0.20 |   -0.49
300 | P125 | up   | 2026-08-05 04:45 |   60.525 | 2026-08-05 12:15 |   61.181 | TRAILING_SL_INTRABAR   |   30 |   +0.78 |   +2.41
300 | P126 | up   | 2026-08-05 16:15 |   62.503 | 2026-08-05 18:00 |   61.764 | TRAILING_SL_INTRABAR   |    7 |   -0.91 |   -2.63
300 | P132 | down | 2026-08-18 17:00 |   64.146 | 2026-08-19 09:00 |   63.128 | TRAILING_SL_INTRABAR   |   60 |   +1.61 |   +3.53
